player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
S. Merrill,2024-25,CLE,G,71.0,19.7,0.14,0.0116157826920814,-0.002012194144345534,17.37012987012987,59.63203463203464,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.4449622342915447
M. Thybulle,2023-24,POR,G-F,65.0,22.9,0.105,0.0112809774349011,-0.0013334982775398182,2.5432900432900434,58.87445887445888,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.8462168576333859
N. Jović,2023-24,MIA,F,46.0,19.5,0.171,0.0112008170749817,-0.0013363613823138398,42.316017316017316,58.76623376623377,ROLE OCCUPANT / SPECIALIST,,0.6593490256582971
J. Poeltl,2022-23,TOR,C,72.0,26.5,0.18,0.0111185742514926,-0.0005023258672446369,49.51298701298701,58.44155844155844,ROLE OCCUPANT / SPECIALIST,,0.8930150405104541
O. Robinson,2024-25,TOR,Guard,44.0,17.5,0.177,0.0110485433382918,-0.0005323960495842231,47.4025974025974,57.9004329004329,ROLE OCCUPANT / SPECIALIST,,0.7283972303107161
A. Dosunmu,2022-23,CHI,G,80.0,26.2,0.145,0.0109263868107211,-0.008632832538518717,21.374458874458874,57.683982683982684,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.38860787905867733
D. DiVincenzo,2022-23,GSW,G,72.0,26.3,0.146,0.0108926689008008,-0.006409970617282112,22.023809523809522,57.467532467532465,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6996112434300803
J. Hart,2024-25,NYK,G,77.0,37.6,0.151,0.0108323683917985,-0.01895977890054916,25.757575757575758,57.25108225108225,ROLE OCCUPANT / SPECIALIST,,0.6411662604080522
C. Braun,2023-24,DEN,G,82.0,20.2,0.152,0.0107964044233369,-0.006085135061648192,26.56926406926407,57.14285714285714,ROLE OCCUPANT / SPECIALIST,,0.9022023669375915
N. Marshall,2022-23,NOP,F,77.0,23.3,0.172,0.0107916267449078,-0.010301138584776857,42.91125541125541,57.03463203463204,ROLE OCCUPANT / SPECIALIST,,0.6289896532817717
S. Hauser,2022-23,BOS,F,80.0,16.1,0.141,0.0107844483697755,-0.002700661840261529,18.344155844155843,56.926406926406926,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5256986399014263
K. Anderson,2023-24,MIN,F-G,79.0,22.6,0.14,0.0106550821245499,-0.006200327049421509,17.37012987012987,56.38528138528138,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.102843849994867
M. Moody,2024-25,GSW,G,74.0,22.3,0.17,0.0105200908661794,-0.008164737356720813,41.66666666666667,55.952380952380956,ROLE OCCUPANT / SPECIALIST,,0.6996542121491279
G. Bitadze,2023-24,ORL,C-F,62.0,15.4,0.129,0.0104766269711588,-0.0008892787180730319,10.876623376623376,55.84415584415584,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.3256741560808316
D. Finney-Smith,2023-24,BKN,F,68.0,28.4,0.132,0.0104050366460266,-0.005489120282023006,12.283549783549784,55.41125541125541,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5340662288668279
D. Green,2024-25,GSW,F,68.0,29.2,0.157,0.0103608986124232,-0.009620795754686183,30.681818181818183,55.3030303030303,ROLE OCCUPANT / SPECIALIST,,0.42554983925557294
C. Braun,2022-23,DEN,G,76.0,15.5,0.127,0.0100967030805079,-0.002435234504379531,9.848484848484848,54.54545454545454,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.9022023669375915
K. Ellis,2024-25,SAC,G,80.0,24.4,0.125,0.010059048107037,-0.005524133828639581,9.090909090909092,54.43722943722944,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7206765755990583
B. Bol,2022-23,ORL,C-F,70.0,21.5,0.177,0.0100583743936645,-0.0058656827838874225,47.4025974025974,54.32900432900433,ROLE OCCUPANT / SPECIALIST,,0.856388728301902
A. Mitchell,2024-25,OKC,G,36.0,16.6,0.159,0.010015464735306,-0.0014678404044957648,32.25108225108225,54.22077922077923,ROLE OCCUPANT / SPECIALIST,,0.17058015672442872
K. Murray,2023-24,SAC,F,77.0,33.6,0.178,0.0099797279248483,-0.02344424240461328,48.214285714285715,54.112554112554115,ROLE OCCUPANT / SPECIALIST,,0.8081909774903333
R. Rubio,2022-23,CLE,G,33.0,17.2,0.172,0.0099258777290088,-0.0015437859013833002,42.91125541125541,53.78787878787878,ROLE OCCUPANT / SPECIALIST,,
K. Williams,2024-25,OKC,G-F,69.0,16.4,0.151,0.0097942408609865,-0.0028735749302269114,25.757575757575758,53.67965367965368,ROLE OCCUPANT / SPECIALIST,,0.5448202831665058
N. Batum,2024-25,LAC,G-F,78.0,17.5,0.087,0.0097929014885516,-0.0019795543942801846,0.5411255411255411,53.57142857142857,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.15501650437965228
N. Batum,2022-23,LAC,G-F,78.0,21.9,0.111,0.0097340942209392,-0.0034973904860006923,4.004329004329004,53.46320346320347,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.15501650437965228
E. Gordon,2024-25,PHI,G,39.0,19.7,0.14,0.0096301511794169,-0.002117665893376905,17.37012987012987,52.922077922077925,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6609983980340896
A. Nesmith,2022-23,IND,G-F,73.0,24.9,0.168,0.009627282862329,-0.01016029128216463,40.04329004329004,52.81385281385281,ROLE OCCUPANT / SPECIALIST,,0.5587818464918588
G. Harris,2022-23,ORL,G,48.0,24.7,0.125,0.0095641372781234,-0.002894940998763881,9.090909090909092,52.38095238095239,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5706014305277567
Z. Collins,2024-25,CHI,F-C,64.0,15.3,0.166,0.0094778780942548,-0.0018438029980652974,38.74458874458874,52.27272727272727,ROLE OCCUPANT / SPECIALIST,,1.4124269429730902
B. Sheppard,2024-25,IND,G,63.0,19.5,0.108,0.009453785356961,-0.0026626024040325887,3.2467532467532463,52.16450216450217,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.487109257004133
J. Smith Jr.,2024-25,HOU,F,57.0,30.1,0.16,0.0094094218363908,-0.007406323991544556,33.22510822510822,51.83982683982684,ROLE OCCUPANT / SPECIALIST,,0.42570793124596074
H. Highsmith,2024-25,MIA,F,74.0,24.6,0.111,0.009365000857484,-0.004479601892098043,4.004329004329004,51.62337662337663,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.44337731335215813
M. Morris,2022-23,WAS,G,62.0,27.4,0.155,0.0092779227662781,-0.007838813330818253,28.19264069264069,51.515151515151516,ROLE OCCUPANT / SPECIALIST,,0.6736067353769627
A. Rivers,2022-23,MIN,G,52.0,19.5,0.104,0.0092700830958573,-0.002374645238317782,2.326839826839827,51.40692640692641,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,
B. Podziemski,2023-24,GSW,G,74.0,26.6,0.149,0.0091289363195126,-0.010015828610123722,24.08008658008658,50.86580086580087,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.2488935146015427
L. Dort,2023-24,OKC,G,79.0,28.4,0.152,0.0091250053158198,-0.012741772091750744,26.56926406926407,50.75757575757576,ROLE OCCUPANT / SPECIALIST,,0.2817399402587733
T. Mann,2023-24,LAC,G-F,75.0,25.0,0.135,0.0090236849321575,-0.006798688462263365,14.285714285714285,50.43290043290043,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.8201057181780406
L. Nance Jr.,2023-24,NOP,F-C,61.0,19.9,0.112,0.0089263325193128,-0.0028837559610553204,4.437229437229438,50.324675324675326,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.8178945413652785
D. Wade,2022-23,CLE,F-C,44.0,20.3,0.1,0.0089189568499307,-0.0024431239244749377,1.3528138528138527,50.21645021645021,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.30934033155928975
A. Caruso,2022-23,CHI,G,67.0,23.5,0.109,0.0088681484186753,-0.003639417938440106,3.354978354978355,50.10822510822511,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5496154950808063
W. Matthews,2022-23,MIL,G,52.0,15.8,0.095,0.0088403515082646,-0.002447097556439867,0.6493506493506493,50.0,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7892748288950168
M. Kleber,2023-24,DAL,F,43.0,20.3,0.096,0.0088174815183335,-0.0024854854505612783,0.8116883116883116,49.891774891774894,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6426326306294136
T. Brown Jr.,2022-23,LAL,G-F,76.0,24.5,0.119,0.0087541779085414,-0.006375622849996649,6.3852813852813854,49.78354978354979,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.9508934856588701
T. Lyles,2024-25,SAC,F,69.0,19.6,0.139,0.0087088336287245,-0.004686185012689541,16.504329004329005,49.67532467532468,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5893072037150711
Q. Grimes,2022-23,NYK,G,71.0,29.9,0.142,0.0086614683261773,-0.010911515395785712,19.047619047619047,49.56709956709957,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.23797608822773242
B. Brown,2024-25,NOP,G-F,41.0,22.5,0.169,0.0086458994054807,-0.0028819289695964073,40.909090909090914,49.35064935064935,ROLE OCCUPANT / SPECIALIST,,1.0784769172949
W. Gabriel,2022-23,LAL,F,68.0,15.1,0.135,0.008596865103271,-0.0031976088443532533,14.285714285714285,49.24242424242424,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,
R. Holland II,2024-25,DET,F,81.0,15.6,0.177,0.0084714171301851,-0.007095574032675817,47.4025974025974,48.701298701298704,ROLE OCCUPANT / SPECIALIST,,0.5024572651165684
J. Champagnie,2023-24,SAS,F,74.0,19.8,0.14,0.0083233023386525,-0.006514690371981324,17.37012987012987,48.37662337662338,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.8799652648179934
T. Prince,2022-23,MIN,F,54.0,22.1,0.165,0.0082970223552768,-0.006126643844046091,37.71645021645021,48.16017316017316,ROLE OCCUPANT / SPECIALIST,,0.37761686146162327
J. Robinson-Earl,2022-23,OKC,F,43.0,18.9,0.143,0.0082903530641433,-0.0033116922570701115,20.075757575757574,47.83549783549784,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.1589445872636084
J. Green,2023-24,HOU,F,78.0,16.8,0.152,0.0081854227346869,-0.005974107647940442,26.56926406926407,47.34848484848485,ROLE OCCUPANT / SPECIALIST,,1.356105897210686
I. Joe,2024-25,OKC,G,74.0,21.7,0.166,0.0081804588885988,-0.009933139518866225,38.74458874458874,47.18614718614719,ROLE OCCUPANT / SPECIALIST,,0.6876804878191864
O. Agbaji,2023-24,TOR,G,78.0,21.0,0.131,0.0081542831710054,-0.003282089199336353,11.796536796536797,47.07792207792208,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7538070450570729
J. Edwards,2024-25,PHI,F,44.0,26.2,0.165,0.0081501173091852,-0.005362261483998711,37.71645021645021,46.96969696969697,ROLE OCCUPANT / SPECIALIST,,0.8999784018390148
R. Dunn,2024-25,PHX,F,74.0,19.1,0.161,0.0081336807703845,-0.006990725363142861,34.41558441558442,46.86147186147186,ROLE OCCUPANT / SPECIALIST,,0.8793668661438374
D. Melton,2023-24,PHI,G,38.0,26.9,0.177,0.008097643108668,-0.005409538864434115,47.4025974025974,46.53679653679654,ROLE OCCUPANT / SPECIALIST,,0.4474638112968025
C. Martin,2024-25,PHX,F,53.0,22.1,0.142,0.008092354327179,-0.0031003776798921717,19.047619047619047,46.42857142857143,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6494283981815547
I. Joe,2023-24,OKC,G,78.0,18.5,0.157,0.008025873969007,-0.007452873039518066,30.681818181818183,46.320346320346324,ROLE OCCUPANT / SPECIALIST,,0.6876804878191864
P. Watson,2023-24,DEN,G,80.0,18.6,0.16,0.0079753133029915,-0.0077732395932218045,33.22510822510822,45.77922077922078,ROLE OCCUPANT / SPECIALIST,,0.39720140246566693
T. Jones,2022-23,MEM,G,80.0,24.2,0.175,0.0079582702526479,-0.016711039522237965,45.56277056277056,45.67099567099567,ROLE OCCUPANT / SPECIALIST,,1.739958818338151
C. Osman,2022-23,CLE,F,77.0,20.1,0.178,0.0078833314640863,-0.010103547775829112,48.214285714285715,45.45454545454545,ROLE OCCUPANT / SPECIALIST,,0.3422728861129897
G. Harris,2023-24,ORL,G,54.0,24.0,0.114,0.0078431147370501,-0.00485146141424319,5.086580086580087,45.34632034632035,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5706014305277567
D. Melton,2022-23,PHI,G,77.0,27.9,0.162,0.0078407296655607,-0.013760998319959956,35.443722943722946,45.23809523809524,ROLE OCCUPANT / SPECIALIST,,0.4474638112968025
K. Ellis,2023-24,SAC,G,57.0,17.2,0.123,0.0077179357938942,-0.004025092490379308,7.954545454545454,44.91341991341991,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7206765755990583
J. Okogie,2022-23,PHX,G,72.0,18.8,0.174,0.0076860730576281,-0.007216697692605037,44.53463203463203,44.58874458874459,ROLE OCCUPANT / SPECIALIST,,0.2753756594810923
T. Craig,2023-24,CHI,F,53.0,19.8,0.121,0.0076294349143036,-0.004337966787563375,6.98051948051948,44.37229437229438,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6934294194568352
W. Carter Jr.,2024-25,ORL,C-F,68.0,25.9,0.159,0.0075543417399489,-0.00886808425037023,32.25108225108225,44.15584415584416,ROLE OCCUPANT / SPECIALIST,,0.3530108971406316
T. Salaün,2024-25,CHA,F,60.0,20.7,0.15,0.007539270776496,-0.005756662500507402,25.0,43.93939393939394,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5192723891464758
I. Okoro,2024-25,CLE,F-G,55.0,19.1,0.124,0.0074886890482434,-0.004517368572708248,8.603896103896105,43.83116883116883,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.36579822206346824
M. Strus,2022-23,MIA,G-F,80.0,28.4,0.17,0.0074465430561042,-0.01889571620509178,41.66666666666667,43.61471861471862,ROLE OCCUPANT / SPECIALIST,,0.6649262170461345
J. Harris,2022-23,BKN,G-F,74.0,20.6,0.141,0.0074231198577927,-0.007321617427430958,18.344155844155843,43.3982683982684,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,
M. Williams,2022-23,CHA,C,43.0,19.3,0.168,0.0073961197795138,-0.004184128345057277,40.04329004329004,43.18181818181818,ROLE OCCUPANT / SPECIALIST,,0.479444873406174
D. Green,2022-23,GSW,F,73.0,31.5,0.129,0.0073675275108021,-0.010462533569013922,10.876623376623376,43.073593073593074,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.42554983925557294
G. Niang,2023-24,CLE,F,82.0,22.3,0.173,0.0073511839955193,-0.01449318821519699,43.61471861471862,42.96536796536797,ROLE OCCUPANT / SPECIALIST,,0.5587256649584714
T. Lyles,2023-24,SAC,F,58.0,20.0,0.139,0.0073221958150454,-0.005267859415599814,16.504329004329005,42.857142857142854,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5893072037150711
G. Niang,2024-25,ATL,F,79.0,21.5,0.177,0.0072687958836245,-0.004937948124140936,47.4025974025974,42.64069264069264,ROLE OCCUPANT / SPECIALIST,,0.5587256649584714
A. Pokusevski,2022-23,OKC,F,34.0,20.6,0.179,0.0072298205917579,-0.00451039871956752,48.86363636363637,42.42424242424242,ROLE OCCUPANT / SPECIALIST,,0.04601959049572256
D. Graham,2022-23,SAS,G,73.0,18.3,0.165,0.0071978558170909,-0.0043496263095530435,37.71645021645021,42.316017316017316,ROLE OCCUPANT / SPECIALIST,,0.48380773899917434
L. Kennard,2022-23,MEM,G,59.0,22.3,0.144,0.00711503062787,-0.00424908039166301,20.995670995670995,41.77489177489178,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6491375946633049
H. Highsmith,2023-24,MIA,F,66.0,20.7,0.121,0.0070787780181741,-0.00565130670789798,6.98051948051948,41.66666666666667,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.44337731335215813
S. Hauser,2024-25,BOS,F,71.0,21.7,0.14,0.0070616084015482,-0.007592226810575883,17.37012987012987,41.450216450216445,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5256986399014263
G. Yabusele,2024-25,PHI,F,70.0,27.1,0.163,0.0070167992082407,-0.012664716961548663,36.25541125541126,41.23376623376623,ROLE OCCUPANT / SPECIALIST,,0.5122671428625845
O. Brissett,2022-23,IND,F-G,65.0,16.7,0.155,0.0070131867997513,-0.006232846086178061,28.19264069264069,41.125541125541126,ROLE OCCUPANT / SPECIALIST,,0.45864295877572425
D. Exum,2023-24,DAL,G,55.0,19.8,0.148,0.0069822620377744,-0.005977015537736695,23.32251082251082,40.909090909090914,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.4882254363325797
H. Jones,2023-24,NOP,F,76.0,30.5,0.141,0.0069449891869983,-0.013230111319442642,18.344155844155843,40.8008658008658,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6462766332739152
J. Green,2022-23,CHI,G,32.0,15.0,0.128,0.0068999576911445,-0.0042741539965464445,10.335497835497835,40.58441558441558,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.356105897210686
J. Isaac,2023-24,ORL,F,58.0,15.8,0.16,0.0068777850864162,-0.005180762167956415,33.22510822510822,40.36796536796537,ROLE OCCUPANT / SPECIALIST,,0.41795131801134044
T. Jones,2024-25,CHI,G,46.0,19.7,0.136,0.0068308856252652,-0.004408526836273984,15.259740259740258,40.25974025974026,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.739958818338151
I. Stewart,2024-25,DET,F-C,72.0,19.9,0.121,0.0067836272693103,-0.005679700227214778,6.98051948051948,40.04329004329004,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7821937233040661
D. Daniels,2024-25,ATL,G,76.0,33.8,0.178,0.0067772212166101,-0.026620903901310423,48.214285714285715,39.82683982683983,ROLE OCCUPANT / SPECIALIST,,0.8723899473475221
L. Dort,2024-25,OKC,G,71.0,29.2,0.133,0.0067573496824574,-0.010618329528534937,12.878787878787879,39.71861471861472,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.2817399402587733
D. Gafford,2023-24,DAL,F-C,74.0,24.5,0.145,0.0067441585794207,-0.004689698125238101,21.374458874458874,39.61038961038961,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.2755270812969108
T. Harris,2022-23,PHI,F,74.0,32.9,0.18,0.0067007859826849,-0.022790760683185488,49.51298701298701,39.285714285714285,ROLE OCCUPANT / SPECIALIST,,0.49187637120719824
O. Okongwu,2022-23,ATL,F-C,80.0,23.1,0.15,0.0066684578061563,-0.00861678314657953,25.0,39.17748917748918,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5067835683326487
T. Prince,2024-25,MIL,F,80.0,27.1,0.123,0.0066430286578246,-0.010746087190080862,7.954545454545454,39.06926406926407,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.37761686146162327
B. Simmons,2022-23,BKN,G-F,42.0,26.3,0.142,0.0066361634975805,-0.005512548375733312,19.047619047619047,38.961038961038966,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5712150513048512
H. Jones,2022-23,NOP,F,66.0,29.6,0.144,0.00660152789254,-0.012335057289026667,20.995670995670995,38.74458874458874,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6462766332739152
W. Carter Jr.,2023-24,ORL,C-F,55.0,25.6,0.172,0.0065780195435818,-0.008461614896868674,42.91125541125541,38.52813852813853,ROLE OCCUPANT / SPECIALIST,,0.3530108971406316
K. Looney,2023-24,GSW,F,74.0,16.1,0.11,0.0065473984185474,-0.005016542146316927,3.571428571428571,38.311688311688314,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.4170728902256025
S. Milton,2022-23,PHI,G-F,76.0,20.6,0.175,0.0064547156851055,-0.012654660870767113,45.56277056277056,37.66233766233766,ROLE OCCUPANT / SPECIALIST,,0.8006000828806986
J. Williams,2024-25,OKC,G-F,47.0,16.7,0.141,0.006428710423055,-0.005115687432788965,18.344155844155843,37.5,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.5734206245879176
J. Champagnie,2024-25,WAS,G-F,62.0,21.6,0.15,0.0064199131118259,-0.0074777895107028345,25.0,37.33766233766234,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.8799652648179934
J. Green,2023-24,DAL,G,57.0,26.4,0.129,0.0064130727145769,-0.00798561904900558,10.876623376623376,37.22943722943723,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.356105897210686
A. Horford,2024-25,BOS,C-F,60.0,27.6,0.136,0.0063981260943635,-0.0089916544075682,15.259740259740258,37.121212121212125,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.46727421622347326
D. Lively II,2023-24,DAL,C,55.0,23.5,0.124,0.0063235127433524,-0.005875196210056976,8.603896103896105,36.904761904761905,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.3096386788002795
J. Green,2022-23,DEN,F,56.0,19.5,0.167,0.0062648517048035,-0.007108991613122411,39.33982683982684,36.79653679653679,ROLE OCCUPANT / SPECIALIST,,1.356105897210686
T. Jerome,2022-23,GSW,G-F,45.0,18.1,0.147,0.0062552775368884,-0.005714871464844382,22.78138528138528,36.688311688311686,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6173120572461416
A. Dosunmu,2024-25,CHI,G,46.0,30.3,0.163,0.0062485729011578,-0.009586966268065754,36.25541125541126,36.58008658008658,ROLE OCCUPANT / SPECIALIST,,0.38860787905867733
A. Nembhard,2022-23,IND,G-F,75.0,27.6,0.159,0.0061820690275823,-0.014354889758738328,32.25108225108225,36.47186147186147,ROLE OCCUPANT / SPECIALIST,,0.4816999906140643
A. Horford,2023-24,BOS,C-F,65.0,26.8,0.119,0.0061711970684836,-0.007755000147336227,6.3852813852813854,36.36363636363637,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.46727421622347326
S. Fontecchio,2024-25,DET,F,75.0,16.5,0.152,0.0061698001637111,-0.007615558642520438,26.56926406926407,36.25541125541126,ROLE OCCUPANT / SPECIALIST,,0.7761396758834206
J. Konchar,2022-23,MEM,G,72.0,20.7,0.1,0.006149607644878,-0.006228600891651288,1.3528138528138527,35.93073593073593,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6786456818423773
C. Martin,2024-25,DAL,F,45.0,27.1,0.143,0.0060415589457402,-0.005126426976491889,20.075757575757574,35.82251082251082,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6494283981815547
J. Mogbo,2024-25,TOR,F,63.0,20.4,0.145,0.0060138108090018,-0.007113827704016209,21.374458874458874,35.60606060606061,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,
J. Strawther,2024-25,DEN,G,65.0,21.3,0.173,0.0059946219087085,-0.010587771060173563,43.61471861471862,35.38961038961039,ROLE OCCUPANT / SPECIALIST,,0.25390670129952764
G. Payton II,2023-24,GSW,G,44.0,15.5,0.13,0.0058972687618507,-0.005430139405352659,11.363636363636363,34.95670995670996,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7723476258290456
J. Hart,2022-23,NYK,G,76.0,32.3,0.124,0.005884102073201,-0.005563833450386181,8.603896103896105,34.84848484848485,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6411662604080522
D. Wade,2023-24,CLE,F-C,54.0,20.5,0.101,0.0058760909302009,-0.00580808498496311,1.7316017316017316,34.63203463203463,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.30934033155928975
J. Green,2024-25,CHA,G,68.0,27.8,0.115,0.005836498793712,-0.009400929793187476,5.248917748917749,34.523809523809526,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.356105897210686
C. Martin,2023-24,MIA,F,64.0,27.4,0.168,0.0058231055459044,-0.011690241417555251,40.04329004329004,34.307359307359306,ROLE OCCUPANT / SPECIALIST,,0.6494283981815547
D. Finney-Smith,2024-25,LAL,F,63.0,28.9,0.123,0.0058152571858312,-0.006406265633042564,7.954545454545454,34.1991341991342,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5340662288668279
T. Hendricks,2023-24,UTA,F,40.0,21.4,0.135,0.0057622961115247,-0.005878965106022188,14.285714285714285,33.98268398268398,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.588134000645471
M. Strus,2024-25,CLE,G-F,50.0,25.5,0.143,0.0057447254600689,-0.007330740541826023,20.075757575757574,33.76623376623377,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6649262170461345
T. Mann,2024-25,ATL,G-F,67.0,21.1,0.145,0.0057423912773661,-0.005671261356016812,21.374458874458874,33.65800865800866,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.8201057181780406
K. Huerter,2023-24,SAC,G-F,64.0,24.4,0.173,0.0056882846392491,-0.012529095436872653,43.61471861471862,33.44155844155844,ROLE OCCUPANT / SPECIALIST,,0.44307239780167473
H. Barnes,2023-24,SAC,F,82.0,29.0,0.154,0.0056798740778106,-0.019720218538276855,27.380952380952383,33.33333333333333,ROLE OCCUPANT / SPECIALIST,,0.28347220332593576
J. Okogie,2023-24,PHX,G,60.0,16.0,0.125,0.0056185983570853,-0.006148050546143092,9.090909090909092,33.22510822510822,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.2753756594810923
D. Avdija,2022-23,WAS,F,76.0,26.6,0.165,0.0056160566434669,-0.015374906138567852,37.71645021645021,33.116883116883116,ROLE OCCUPANT / SPECIALIST,,1.3386835277359643
J. Walter,2024-25,TOR,G,52.0,21.2,0.179,0.0056035181343421,-0.008237329965443995,48.86363636363637,33.00865800865801,ROLE OCCUPANT / SPECIALIST,,0.5132483586930292
D. Mitchell,2024-25,MIA,G,74.0,27.4,0.135,0.0055860831351126,-0.006448063953788264,14.285714285714285,32.900432900432904,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.0637948662761685
