t_id,t_name,t_ts,t_usage,t_L,t_DA,t_Dpi,c_id,c_name,c_ts,c_usage,c_L,c_DA,c_Dpi,c_role,du,same_ts,d_DA,d_Dpi
1626204,Larry Nance Jr.,NOP 2022-23,0.118,0.0159818435165504,0.1084679452415086,0.0522115000269535,1630700,Dyson Daniels,NOP 2022-23,0.113,0.0050732219265683,0.042664260266066956,0.053452415250168056,ROLE OCCUPANT / SPECIALIST,0.0049999999999999906,1,0.06580368497544165,-0.0012409152232145532
1629637,Jaxson Hayes,LAL 2024-25,0.12,0.10667139030881,0.15061611121165575,0.039228113416077376,1627827,Dorian Finney-Smith,LAL 2024-25,0.123,0.0058152571858312,0.015477613624036879,0.06240080629332536,ROLE OCCUPANT / SPECIALIST,0.0030000000000000027,1,0.13513849758761887,-0.023172692877247984
1629234,Drew Eubanks,POR 2022-23,0.122,0.0678085015995417,0.19009537015115396,0.03841457307895101,1629680,Matisse Thybulle,POR 2022-23,0.102,0.0022586621782191,0.057232440762461145,0.041670129894270866,ROLE OCCUPANT / SPECIALIST,0.020000000000000004,1,0.13286292938869282,-0.003255556815319853
204060,Joe Ingles,MIL 2022-23,0.122,0.0126261559532295,0.11934806169213685,0.03592078859890755,202083,Wesley Matthews,MIL 2022-23,0.095,0.0088403515082646,0.08005563832818952,0.04990601399356023,ROLE OCCUPANT / SPECIALIST,0.026999999999999996,1,0.03929242336394734,-0.013985225394652682
203939,Dwight Powell,DAL 2022-23,0.123,0.1463174827841737,0.26933864825160814,0.050707988156930534,203200,Justin Holiday,DAL 2022-23,0.132,0.0043162102377637,0.2193306000438553,0.048180314309346564,ROLE OCCUPANT / SPECIALIST,0.009000000000000008,1,0.05000804820775284,0.0025276738475839694
203484,Kentavious Caldwell-Pope,DEN 2023-24,0.126,0.0783233073139474,0.31356572613503597,0.1752488675644487,1631128,Christian Braun,DEN 2023-24,0.152,0.0107964044233369,0.15209958725074257,0.07736635407977928,ROLE OCCUPANT / SPECIALIST,0.025999999999999995,1,0.1614661388842934,0.09788251348466943
1631117,Walker Kessler,UTA 2023-24,0.127,0.2391867716151694,0.6279902873320811,0.03547948816190996,1627739,Kris Dunn,UTA 2023-24,0.132,0.0053138727187134,0.10680245616979389,0.05193752885536819,ROLE OCCUPANT / SPECIALIST,0.0050000000000000044,1,0.5211878311622872,-0.01645804069345823
1628470,Torrey Craig,PHX 2022-23,0.128,0.022309210199049,0.09897879409251598,0.06329436512067335,1630688,Ish Wainright,PHX 2022-23,0.117,0.0049678543454373,0.03674210963470881,0.03732004062010591,ROLE OCCUPANT / SPECIALIST,0.010999999999999996,1,0.06223668445780717,0.02597432450056744
203497,Rudy Gobert,MIN 2024-25,0.129,0.5108862830941341,0.5842508887749717,0.08999803383378815,201144,Mike Conley,MIN 2024-25,0.141,0.0009622855414848,0.016271756201025278,0.04021579500864015,ROLE OCCUPANT / SPECIALIST,0.011999999999999983,1,0.5679791325739464,0.049782238825148005
1629234,Drew Eubanks,PHX 2023-24,0.129,0.0723371474336652,0.2219224093563903,0.07892732690715394,1629006,Josh Okogie,PHX 2023-24,0.125,0.0056185983570853,0.07247671233420383,0.03476904453212277,ROLE OCCUPANT / SPECIALIST,0.0040000000000000036,1,0.14944569702218646,0.04415828237503117
