player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
K. Lowry,200768,200768_MIA23_PHI23,0,G,Guard,MIA,2023-24,PHI,2023-24,MIA 2023-24 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,256,152,0.034,0.02,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.479,0.315,0.163,YES,MIA,0.895428034438528,0.16681856709953974,-0.315,0.45169772137524006,0.6658737063737361,33.8,10,-0.45169772137524006,True,False,redundant
D. Schröder,203471,203471_GSW24_DET24,0,G,Guard,GSW,2024-25,DET,2024-25,GSW 2024-25 → DET 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,249,264,0.034,0.036,0.005,0.007,-0.007,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.14,-0.022,0.162,YES,GSW,0.21341251247017,0.09244632705400388,0.022,-0.0028428343389012758,0.33334310136664874,35.0,10,0.0028428343389012758,False,True,missed-need
Q. Grimes,1629656,1629656_NYK23_DAL24,0,G,Guard,NYK,2023-24,DAL,2024-25,NYK 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,264,364,0.036,0.05,0.006,0.006,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.319,0.157,0.162,YES,NYK,0.5199473025631276,0.13226296659734119,-0.157,0.2008835011869954,0.6907198906772538,32.2,10,-0.2008835011869954,True,False,redundant
P. Mills,201988,201988_MIA23_UTA24,0,G,G,MIA,2023-24,UTA,2024-25,MIA 2023-24 → UTA 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,83,73,0.011,0.01,0.001,0.009,-0.01,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,0.293,0.161,YES,MIA,0.21341251247017,0.06794103383249045,-0.293,0.26480276722962975,0.4474793667067276,31.5,10,-0.26480276722962975,False,False,irrelevant
D. McDermott,203926,203926_SAS23_IND23,0,F,Forward,SAS,2023-24,IND,2023-24,SAS 2023-24 → IND 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,204,64,0.026,0.008,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.015,-0.138,0.153,YES,SAS,-0.049576214529051595,0.05123710501061146,0.138,-0.005532449298474514,0.29886382381053606,27.7,10,0.005532449298474514,False,True,missed-need
T. Prince,1627752,1627752_LAL23_MIL24,0,F/Wing,F,LAL,2023-24,MIL,2024-25,LAL 2023-24 → MIL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,619,531,0.079,0.071,0.005,0.007,-0.014,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.619,0.469,0.149,YES,LAL,0.21341251247017,0.12231694502301849,-0.469,0.3409133825820764,0.6652693224088151,36.1,10,-0.3409133825820764,True,False,redundant
T. Ross,203082,203082_ORL22_PHX22,0,F,Guard-Forward,ORL,2022-23,PHX,2022-23,ORL 2022-23 → PHX 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,312,162,0.041,0.021,0.024,0.004,0.011,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.152,0.01,0.142,YES,ORL,0.21341251247017,0.1221269264699431,-0.01,0.022479966370319543,0.16957397349976036,24.7,10,-0.022479966370319543,True,True,additive
D. Fox,1628368,1628368_SAC24_SAS24,0,G,Guard,SAC,2024-25,SAS,2024-25,SAC 2024-25 → SAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,927,295,0.126,0.04,0.02,0.008,-0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.519,0.381,0.138,YES,SAC,0.46373281389221227,0.20497282557744734,-0.381,0.2434820549840999,0.4967880431037809,33.2,10,-0.2434820549840999,True,False,redundant
N. Little,1629642,1629642_POR22_PHX23,0,F/Wing,F-G,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,301,140,0.04,0.019,0.001,0.003,-0.012,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.195,-0.333,0.137,YES,POR,0.21341251247017,0.09307619835088643,0.333,-0.18217689369123302,0.14521368412726213,37.2,10,0.18217689369123302,False,True,missed-need
T. Hardaway Jr.,203501,203501_DAL23_DET24,0,F/Wing,G-F,DAL,2023-24,DET,2024-25,DAL 2023-24 → DET 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,980,691,0.131,0.094,0.015,0.021,-0.021,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.105,-0.031,0.136,YES,DAL,0.6494218596588853,0.23454399270284992,0.031,-0.27928016906433434,0.02553733407916178,31.6,10,0.27928016906433434,True,True,additive
D. Bertans,202722,202722_DAL22_CHA23,0,F/Wing,F,DAL,2022-23,CHA,2023-24,DAL 2022-23 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,155,194,0.021,0.026,0.004,0.014,-0.007,0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.467,0.333,0.134,YES,DAL,0.21341251247017,0.07973496820851794,-0.333,0.3402122227541929,0.47994029056768694,32.2,10,-0.3402122227541929,False,False,irrelevant
V. Micić,203995,203995_OKC23_CHA23,0,?,?,OKC,2023-24,CHA,2023-24,OKC 2023-24 → CHA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,103,317,0.014,0.043,0.001,0.005,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.104,-0.236,0.133,YES,OKC,0.21341251247017,0.07419272098815329,0.236,-0.20711380359378065,-0.03163847991971352,37.4,10,0.20711380359378065,False,True,missed-need
S. Milton,1629003,1629003_MIN23_BKN24,0,F,Forward,MIN,2023-24,BKN,2024-25,MIN 2023-24 → BKN 2024-25,PnR ball-handler / hub,Driving creator,PNR,DRIVE,182,162,0.025,0.023,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.588,0.46,0.128,YES,MIN,0.21341251247017,0.08486251688702362,-0.46,0.4083272413328515,0.7336794566004613,31.6,10,-0.4083272413328515,False,False,irrelevant
J. Green,201145,201145_DEN22_HOU23,0,F/Wing,F,DEN,2022-23,HOU,2023-24,DEN 2022-23 → HOU 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,355,415,0.047,0.053,0.006,0.008,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.132,0.009,0.124,YES,DEN,0.21341251247017,0.10327067094584633,-0.009,-0.0027697643576060195,0.1756063186336901,32.5,10,0.0027697643576060195,True,True,additive
L. Kennard,1628379,1628379_LAC22_MEM22,0,G,Guard,LAC,2022-23,MEM,2022-23,LAC 2022-23 → MEM 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,229,179,0.03,0.023,0.001,0.007,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.23,-0.354,0.124,YES,LAC,0.21341251247017,0.0861283099948936,0.354,-0.16696248495707902,0.5891351858114289,31.7,10,0.16696248495707902,False,True,missed-need
G. Williams,1629684,1629684_DAL23_CHA23,0,F,Forward,DAL,2023-24,CHA,2023-24,DAL 2023-24 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,299,301,0.04,0.041,0.005,0.003,-0.007,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.582,0.457,0.124,YES,DAL,0.21341251247017,0.09508993432458301,-0.457,0.4506437014871177,0.612019622949852,32.2,10,-0.4506437014871177,False,False,irrelevant
G. Niang,1627777,1627777_CLE24_ATL24,0,F,Forward,CLE,2024-25,ATL,2024-25,CLE 2024-25 → ATL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,350,278,0.047,0.036,0.004,0.007,-0.009,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.356,0.234,0.122,YES,CLE,0.19678455974454254,0.09769436645386426,-0.234,0.18968758168740332,0.49081939203142044,24.9,10,-0.18968758168740332,False,False,irrelevant
P. George,202331,202331_LAC23_PHI24,0,F/Wing,F,LAC,2023-24,PHI,2024-25,LAC 2023-24 → PHI 2024-25,Pull-up scorer,PnR ball-handler / hub,PULL_UP,PNR,1261,591,0.174,0.081,0.015,0.013,-0.045,-0.007,"High-usage, low structural influence",Peripheral / replaceable wiring,-0.151,-0.268,0.118,YES,LAC,0.67960867488855,0.286212951608817,0.268,-0.5072325081485046,0.033663006024250944,37.7,10,0.5072325081485046,True,True,additive
I. Quickley,1630193,1630193_NYK23_TOR23,0,G,Guard,NYK,2023-24,TOR,2023-24,NYK 2023-24 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,367,606,0.05,0.08,0.004,0.008,-0.01,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.082,-0.036,0.117,YES,NYK,0.0015103501301927625,0.07608090420902491,0.036,-0.07138488713313927,0.19113528545658712,31.7,10,0.07138488713313927,False,True,missed-need
D. Schröder,203471,203471_BKN24_GSW24,0,G,Guard,BKN,2024-25,GSW,2024-25,BKN 2024-25 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,345,249,0.048,0.034,0.01,0.005,-0.003,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.153,-0.266,0.113,YES,BKN,0.5405743703465801,0.15382412669185777,0.266,-0.027773755650411035,0.20402715017947334,32.2,10,0.027773755650411035,True,True,additive
Z. Collins,1628380,1628380_SAS24_CHI24,0,F/C,Forward-Center,SAS,2024-25,CHI,2024-25,SAS 2024-25 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,138,164,0.019,0.022,0.006,0.009,-0.005,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.03,-0.076,0.106,YES,SAS,0.28838701048389614,0.09296305337916057,0.076,0.03828190328800916,0.5475572906861359,33.1,10,-0.03828190328800916,False,True,missed-need
R. Hampton,1630181,1630181_ORL22_DET22,0,G,Guard,ORL,2022-23,DET,2022-23,ORL 2022-23 → DET 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,117,141,0.015,0.018,0.015,0.004,0.004,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.077,-0.182,0.105,YES,ORL,0.21341251247017,0.09288888156620835,0.182,-0.14491809496866292,0.1953198517994249,33.3,10,0.14491809496866292,False,True,missed-need
C. Payne,1626166,1626166_MIL23_PHI23,0,G,Guard,MIL,2023-24,PHI,2023-24,MIL 2023-24 → PHI 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,254,273,0.033,0.036,0.003,0.002,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.074,-0.03,0.104,YES,MIL,0.21341251247017,0.08941091733313411,0.03,0.00020769685057227036,0.0918667397251661,37.5,10,-0.00020769685057227036,False,True,missed-need
D. Avdija,1630166,1630166_WAS23_POR24,0,F/Wing,F,WAS,2023-24,POR,2024-25,WAS 2023-24 → POR 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,925,985,0.117,0.133,0.09,0.006,0.059,-0.032,Standard role occupant,Peripheral / replaceable wiring,0.162,0.059,0.103,YES,WAS,-0.03455294051227542,0.23442456470867268,-0.059,-0.1173633044394899,0.23048101579093366,32.7,10,0.1173633044394899,True,False,redundant
J. Nwora,1629670,1629670_IND23_TOR23,0,F,Forward,IND,2023-24,TOR,2023-24,IND 2023-24 → TOR 2023-24,Transition initiator,PnR ball-handler / hub,TRANSITION,PNR,77,228,0.01,0.03,0.001,0.003,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.241,0.149,0.092,YES,IND,0.44405078411455207,0.09752249640258051,-0.149,0.0259727474163867,0.17470891796428792,29.2,10,-0.0259727474163867,False,False,irrelevant
D. DiVincenzo,1628978,1628978_NYK23_MIN24,0,G,G,NYK,2023-24,MIN,2024-25,NYK 2023-24 → MIN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,959,582,0.131,0.08,0.026,0.003,-0.011,-0.017,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.541,0.452,0.088,YES,NYK,0.21341251247017,0.18355687874620918,-0.452,0.39515628004665637,0.676469512747133,32.3,10,-0.39515628004665637,True,False,redundant
K. Nunn,1629134,1629134_LAL22_WAS22,0,G,Guard,LAL,2022-23,WAS,2022-23,LAL 2022-23 → WAS 2022-23,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,254,202,0.032,0.026,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.526,0.44,0.086,YES,LAL,0.21341251247017,0.08794323235548174,-0.44,0.4753652002644764,0.6302623507968855,35.0,10,-0.4753652002644764,False,False,irrelevant
N. Batum,201587,201587_LAC22_PHI23,0,F/Wing,G-F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,347,213,0.046,0.028,0.01,0.013,-0.003,0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,0.371,0.083,YES,LAC,0.7553903299784581,0.1702932155477626,-0.371,0.3828917106241126,0.524153234379816,28.2,10,-0.3828917106241126,True,False,redundant
G. Allen,1628960,1628960_MIL22_PHX23,0,G,G,MIL,2022-23,PHX,2023-24,MIL 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,615,682,0.078,0.091,0.026,0.019,0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.196,0.114,0.082,YES,MIL,0.21341251247017,0.15145032135798814,-0.114,0.1675007232237919,0.4445380190646496,33.3,10,-0.1675007232237919,True,False,redundant
P. Beverley,201976,201976_CHI22_PHI23,0,G,G,CHI,2022-23,PHI,2023-24,CHI 2022-23 → PHI 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,134,252,0.018,0.034,0.004,0.002,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.088,0.007,0.081,YES,CHI,0.21341251247017,0.07969385603620532,-0.007,0.05904405084632522,0.5609163653201531,28.2,10,-0.05904405084632522,False,True,missed-need
S. Milton,1629003,1629003_PHI22_MIN23,0,F/Wing,G-F,PHI,2022-23,MIN,2023-24,PHI 2022-23 → MIN 2023-24,Driving creator,PnR ball-handler / hub,DRIVE,PNR,576,182,0.079,0.025,0.006,0.006,-0.013,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.244,0.162,0.081,YES,PHI,0.21341251247017,0.12590629268775,-0.162,0.13437180681343291,0.26741525491055074,35.1,10,-0.13437180681343291,True,False,redundant
K. Thompson,202691,202691_GSW23_DAL24,0,G,G,GSW,2023-24,DAL,2024-25,GSW 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1149,847,0.151,0.117,0.011,0.029,-0.035,-0.002,"High-usage, low structural influence",Peripheral / replaceable wiring,0.153,0.073,0.08,YES,GSW,0.4649960529230654,0.21910756549204063,-0.073,0.09950873670621782,0.26014894462793525,33.4,10,-0.09950873670621782,True,False,redundant
D. Graham,1628984,1628984_NOP22_SAS22,0,G,Guard,NOP,2022-23,SAS,2022-23,NOP 2022-23 → SAS 2022-23,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,254,212,0.033,0.027,0.002,0.007,-0.009,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.459,0.383,0.077,YES,NOP,0.21341251247017,0.0863505029679753,-0.383,0.3417654338014893,0.5284622582075862,32.8,10,-0.3417654338014893,False,False,irrelevant
C. Paul,101108,101108_GSW23_SAS24,0,G,G,GSW,2023-24,SAS,2024-25,GSW 2023-24 → SAS 2024-25,Pull-up scorer,PnR ball-handler / hub,PULL_UP,PNR,426,520,0.056,0.071,0.03,0.049,0.016,0.032,Peripheral / replaceable wiring,Standard role occupant,0.204,0.129,0.076,YES,GSW,0.21341251247017,0.14059431285432955,-0.129,0.1264460985973059,0.5007795571217658,36.1,10,-0.1264460985973059,True,False,redundant
J. Holiday,201950,201950_MIL22_BOS23,0,G,G,MIL,2022-23,BOS,2023-24,MIL 2022-23 → BOS 2023-24,Driving creator,Pull-up scorer,DRIVE,PULL_UP,1029,664,0.13,0.088,0.048,0.002,0.011,-0.02,Standard role occupant,Peripheral / replaceable wiring,-0.008,-0.075,0.067,YES,MIL,0.21341251247017,0.2226111029213919,0.075,-0.09583720883312516,0.23385974928856512,35.7,10,0.09583720883312516,True,True,additive
P. Achiuwa,1630173,1630173_TOR23_NYK23,0,F,Forward,TOR,2023-24,NYK,2023-24,TOR 2023-24 → NYK 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,163,245,0.022,0.034,0.002,0.002,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.146,-0.211,0.065,YES,TOR,0.2723906646820352,0.08898162893198597,0.211,-0.35981093676330883,-0.040702209013881906,35.4,10,0.35981093676330883,False,True,missed-need
D. Barlow,1631230,1631230_SAS23_ATL24,0,F/Wing,F,SAS,2023-24,ATL,2024-25,SAS 2023-24 → ATL 2024-25,Pull-up scorer,Cutter / connector,PULL_UP,CUT,95,108,0.012,0.014,0.004,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.238,0.175,0.062,YES,SAS,0.24926664922776304,0.07876694206749471,-0.175,0.056497887631993385,0.40454257592075527,36.0,10,-0.056497887631993385,False,False,irrelevant
S. Dinwiddie,203915,203915_LAL23_DAL24,0,G,G,LAL,2023-24,DAL,2024-25,LAL 2023-24 → DAL 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,143,700,0.018,0.096,0.001,0.005,-0.01,-0.019,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.336,-0.398,0.062,YES,LAL,0.21341251247017,0.07846577426255413,0.398,-0.39183434116324173,-0.19118923378127378,36.1,10,0.39183434116324173,False,True,missed-need
M. Brogdon,1627763,1627763_POR23_WAS24,0,G,G,POR,2023-24,WAS,2024-25,POR 2023-24 → WAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,508,271,0.07,0.037,0.013,0.046,-0.004,0.033,Peripheral / replaceable wiring,Standard role occupant,0.339,0.281,0.059,YES,POR,0.21341251247017,0.12819630246998842,-0.281,0.27442962648522684,0.5186992981975167,33.0,10,-0.27442962648522684,True,False,redundant
C. Martin,1628997,1628997_MIA23_PHI24,0,F/Wing,F,MIA,2023-24,PHI,2024-25,MIA 2023-24 → PHI 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,535,256,0.072,0.035,0.006,0.002,-0.012,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.156,-0.214,0.058,YES,MIA,0.2477592824621858,0.1272895820898721,0.214,0.28985696605253164,0.5329107021402276,34.6,10,-0.28985696605253164,True,True,additive
B. Brown,1628971,1628971_IND23_TOR23,0,F,Forward,IND,2023-24,TOR,2023-24,IND 2023-24 → TOR 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,352,304,0.045,0.04,0.004,0.001,-0.009,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.43,0.375,0.056,YES,IND,0.21341251247017,0.09805957324425318,-0.375,0.28847655796576055,0.48832250911241565,31.7,10,-0.28847655796576055,False,False,irrelevant
Y. Watanabe,1629139,1629139_BKN22_PHX23,0,F/Wing,G-F,BKN,2022-23,PHX,2023-24,BKN 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,236,86,0.032,0.011,0.005,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.638,0.582,0.056,YES,BKN,0.21341251247017,0.08877038024908623,-0.582,0.5376584276992737,0.7482304633914162,33.5,10,-0.5376584276992737,False,False,irrelevant
R. Jackson,202704,202704_DEN23_PHI24,0,G,G,DEN,2023-24,PHI,2024-25,DEN 2023-24 → PHI 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,796,134,0.106,0.018,0.028,0.004,0.001,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.065,-0.119,0.054,YES,DEN,-0.07110328813467896,0.1424548304999321,0.119,0.08981741938061427,0.17798881572261213,37.7,10,-0.08981741938061427,True,True,additive
R. O'Neale,1626220,1626220_BKN23_PHX23,0,F,Forward,BKN,2023-24,PHX,2023-24,BKN 2023-24 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,326,212,0.043,0.028,0.002,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.535,0.482,0.054,YES,BKN,0.5952783121852973,0.1381929662691424,-0.482,0.6211503466893262,0.8894738414174177,33.5,10,-0.6211503466893262,True,False,redundant
J. Holiday,203200,203200_DAL22_DEN23,0,F/Wing,F-G,DAL,2022-23,DEN,2023-24,DAL 2022-23 → DEN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,80,180,0.011,0.024,0.004,0.017,-0.007,0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.015,-0.038,0.053,YES,DAL,0.21341251247017,0.07509684094055813,0.038,0.003132135274958815,0.24843835932021174,34.6,10,-0.003132135274958815,False,True,missed-need
K. Edwards,1630556,1630556_SAC23_DAL24,0,F/Wing,F,SAC,2023-24,DAL,2024-25,SAC 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,69,125,0.009,0.017,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,0.062,0.052,YES,SAC,0.10756873909418209,0.05807784670938178,-0.062,-0.3107322371722029,0.1407360084096468,32.2,10,0.3107322371722029,False,False,irrelevant
P. Mills,201988,201988_ATL23_MIA23,0,G,Guard,ATL,2023-24,MIA,2023-24,ATL 2023-24 → MIA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,52,83,0.007,0.011,0.003,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.117,-0.165,0.047,YES,ATL,0.21341251247017,0.07198501079158055,0.165,-0.17829878823792833,0.25598185088323455,33.4,10,0.17829878823792833,False,True,missed-need
J. Vanderbilt,1629020,1629020_UTA22_LAL22,0,F,Forward,UTA,2022-23,LAL,2022-23,UTA 2022-23 → LAL 2022-23,Cutter / connector,Cutter / connector,CUT,CUT,312,138,0.04,0.018,0.005,0.002,-0.007,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.664,-0.703,0.038,YES,UTA,0.21341251247017,0.10000901981967059,0.703,-0.5399534913400897,-0.24622023030685042,35.5,10,0.5399534913400897,False,True,missed-need
K. Towns,1626157,1626157_MIN23_NYK24,0,F/C,C-F,MIN,2023-24,NYK,2024-25,MIN 2023-24 → NYK 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,1105,1224,0.149,0.17,0.008,0.009,-0.037,-0.048,Peripheral / replaceable wiring,"High-usage, low structural influence",0.018,-0.017,0.035,YES,MIN,0.5832747567045434,0.23367442198336769,0.017,-0.09360825318523895,0.07065370574701196,37.6,9,0.09360825318523895,True,True,additive
K. Martin,1630231,1630231_PHI24_UTA24,0,F,Forward,PHI,2024-25,UTA,2024-25,PHI 2024-25 → UTA 2024-25,Transition initiator,Spot-up / off-ball,TRANSITION,SPOT_UP,105,107,0.014,0.015,0.004,0.013,-0.007,0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.6,-0.633,0.033,YES,PHI,-0.2171063097113712,0.03236449880171732,0.633,0.06769393355619006,0.25230979449360663,31.5,10,-0.06769393355619006,False,True,missed-need
D. Mitchell,1630558,1630558_TOR24_MIA24,0,G,Guard,TOR,2024-25,MIA,2024-25,TOR 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,274,250,0.037,0.034,0.008,0.006,-0.004,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.072,-0.102,0.029,YES,TOR,0.21341251247017,0.09937209746498711,0.102,-0.08279702603404786,0.266178277757654,35.4,10,0.08279702603404786,False,True,missed-need
D. Banton,1630625,1630625_BOS23_POR23,0,F,Forward,BOS,2023-24,POR,2023-24,BOS 2023-24 → POR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,50,446,0.007,0.061,0.001,0.013,-0.01,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.279,-0.306,0.026,YES,BOS,0.21341251247017,0.07073074478755487,0.306,-0.2863930854461161,-0.14088923245190677,34.4,10,0.2863930854461161,False,True,missed-need
M. Beasley,1627736,1627736_LAL22_MIL23,0,G,G,LAL,2022-23,MIL,2023-24,LAL 2022-23 → MIL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,270,692,0.034,0.089,0.005,0.013,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.654,0.628,0.026,YES,LAL,0.21341251247017,0.09024309089851057,-0.628,0.4889139301118595,0.685508790277909,30.5,10,-0.4889139301118595,False,False,irrelevant
C. Payne,1626166,1626166_PHX22_MIL23,0,G,G,PHX,2022-23,MIL,2023-24,PHX 2022-23 → MIL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,456,254,0.06,0.033,0.013,0.003,-0.003,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.203,-0.228,0.025,YES,PHX,0.21341251247017,0.12302953689207519,0.228,-0.1867763199395264,0.13750197263670264,35.3,10,0.1867763199395264,True,True,additive
J. Valančiūnas,202685,202685_WAS24_SAC24,0,C,Center,WAS,2024-25,SAC,2024-25,WAS 2024-25 → SAC 2024-25,Post hub,Post hub,POST_UP,POST_UP,380,173,0.052,0.024,0.131,0.005,0.117,-0.007,Hidden structural hub,Peripheral / replaceable wiring,0.134,0.11,0.024,YES,WAS,0.21341251247017,0.2783471662474575,-0.11,0.04126421165240849,0.6451402916846477,35.9,10,-0.04126421165240849,True,False,redundant
K. Bates-Diop,1628966,1628966_SAS22_PHX23,0,F/Wing,F,SAS,2022-23,PHX,2023-24,SAS 2022-23 → PHX 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,483,146,0.061,0.019,0.004,0.004,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.626,-0.645,0.019,YES,SAS,0.21341251247017,0.11409840394294302,0.645,-0.5348613369054083,0.03405527454555459,33.5,10,0.5348613369054083,True,True,additive
