player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
D. Lillard,203081,203081_POR22_MIL23,0,G,G,POR,2022-23,MIL,2023-24,POR 2022-23 → MIL 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,1370,1416,0.182,0.182,0.041,0.052,-0.022,-0.011,"High-usage, low structural influence",Standard role occupant,0.367,-0.149,0.516,YES,POR,0.21341251247017,0.24098261115364566,0.149,-0.11570448925362548,0.3865324044592497,35.2,10,0.11570448925362548,True,True,additive
D. Murray,1627749,1627749_ATL23_NOP24,0,G,G,ATL,2023-24,NOP,2024-25,ATL 2023-24 → NOP 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,1506,505,0.193,0.069,0.024,0.007,-0.047,-0.01,"High-usage, low structural influence",Peripheral / replaceable wiring,0.628,0.144,0.484,YES,ATL,0.5101156021714988,0.2511950008597034,-0.144,0.14047848210587396,0.3914331241491483,35.0,10,-0.14047848210587396,True,False,redundant
J. McGee,201580,201580_DAL22_SAC23,0,F/C,C-F,DAL,2022-23,SAC,2023-24,DAL 2022-23 → SAC 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,140,115,0.019,0.015,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.636,0.152,0.484,YES,DAL,0.21341251247017,0.07716043105202697,-0.152,0.10413984526773828,0.4613268786768539,35.9,10,-0.10413984526773828,False,False,irrelevant
C. Reddish,1629629,1629629_NYK22_POR22,0,F,Forward-Guard,NYK,2022-23,POR,2022-23,NYK 2022-23 → POR 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,157,203,0.021,0.027,0.005,0.003,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.639,0.169,0.47,YES,NYK,0.21341251247017,0.08008343709653365,-0.169,0.13526473263762578,0.3713140287019565,36.3,10,-0.13526473263762578,False,False,irrelevant
J. Harden,201935,201935_PHI22_LAC23,0,G,G,PHI,2022-23,LAC,2023-24,PHI 2022-23 → LAC 2023-24,Driving creator,Pull-up scorer,DRIVE,PULL_UP,887,884,0.121,0.122,0.024,0.02,-0.009,-0.013,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.727,0.263,0.464,YES,PHI,0.21341251247017,0.17202428697551597,-0.263,0.2799912348250389,0.6861458240289989,34.3,10,-0.2799912348250389,True,False,redundant
B. Hield,1627741,1627741_PHI23_GSW24,0,G,G,PHI,2023-24,GSW,2024-25,PHI 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,324,707,0.043,0.097,0.004,0.016,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.243,-0.217,0.461,YES,PHI,0.21341251247017,0.09732220282967605,0.217,-0.07947407274016068,0.16883980273301505,32.2,10,0.07947407274016068,False,True,missed-need
D. Russell,1626156,1626156_LAL24_BKN24,0,G,Guard,LAL,2024-25,BKN,2024-25,LAL 2024-25 → BKN 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,323,335,0.045,0.047,0.001,0.005,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.398,-0.062,0.461,YES,LAL,0.3577769332929382,0.11213033807537603,0.062,0.6569661033988073,0.8923607760627917,31.6,10,-0.6569661033988073,True,True,additive
D. Jones Jr.,1627884,1627884_DAL23_LAC24,0,F/Wing,F,DAL,2023-24,LAC,2024-25,DAL 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,504,601,0.067,0.085,0.014,0.03,-0.002,0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.527,0.074,0.453,YES,DAL,0.21341251247017,0.12660403802786147,-0.074,0.030503273688074834,0.4566885658577123,32.6,10,-0.030503273688074834,True,False,redundant
C. Joseph,202709,202709_GSW23_ORL24,0,G,Guard,GSW,2023-24,ORL,2024-25,GSW 2023-24 → ORL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,59,141,0.008,0.02,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.539,0.09,0.449,YES,GSW,0.21341251247017,0.06882469386787043,-0.09,0.0751146432379794,0.6196560293323603,28.6,10,-0.0751146432379794,False,False,irrelevant
C. LeVert,1627747,1627747_CLE24_ATL24,0,G,Guard,CLE,2024-25,ATL,2024-25,CLE 2024-25 → ATL 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,319,298,0.043,0.039,0.003,0.008,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.176,-0.267,0.443,YES,CLE,0.4700107675629545,0.12871488888965327,0.267,0.17192957302918577,0.549456949885542,36.0,10,-0.17192957302918577,True,True,additive
