player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
D. Mitchell,1630558,1630558_TOR24_MIA24,0,G,Guard,TOR,2024-25,MIA,2024-25,TOR 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,274,250,0.037,0.034,0.008,0.006,-0.004,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.072,-0.102,0.029,YES
D. Banton,1630625,1630625_BOS23_POR23,0,F,Forward,BOS,2023-24,POR,2023-24,BOS 2023-24 → POR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,50,446,0.007,0.061,0.001,0.013,-0.01,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.279,-0.306,0.026,YES
M. Beasley,1627736,1627736_LAL22_MIL23,0,G,G,LAL,2022-23,MIL,2023-24,LAL 2022-23 → MIL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,270,692,0.034,0.089,0.005,0.013,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.654,0.628,0.026,YES
C. Payne,1626166,1626166_PHX22_MIL23,0,G,G,PHX,2022-23,MIL,2023-24,PHX 2022-23 → MIL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,456,254,0.06,0.033,0.013,0.003,-0.003,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.203,-0.228,0.025,YES
J. Valančiūnas,202685,202685_WAS24_SAC24,0,C,Center,WAS,2024-25,SAC,2024-25,WAS 2024-25 → SAC 2024-25,Post hub,Post hub,POST_UP,POST_UP,380,173,0.052,0.024,0.131,0.005,0.117,-0.007,Hidden structural hub,Peripheral / replaceable wiring,0.134,0.11,0.024,YES
K. Bates-Diop,1628966,1628966_SAS22_PHX23,0,F/Wing,F,SAS,2022-23,PHX,2023-24,SAS 2022-23 → PHX 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,483,146,0.061,0.019,0.004,0.004,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.626,-0.645,0.019,YES
D. Finney-Smith,1627827,1627827_DAL22_BKN22,0,F,Forward,DAL,2022-23,BKN,2022-23,DAL 2022-23 → BKN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,294,180,0.04,0.024,0.01,0.005,-0.002,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.709,0.69,0.019,YES
T. Warren,203933,203933_BKN22_PHX22,0,F,Forward,BKN,2022-23,PHX,2022-23,BKN 2022-23 → PHX 2022-23,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,206,54,0.028,0.007,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.113,-0.131,0.018,YES
A. Wiggins,203952,203952_GSW24_MIA24,0,G,Guard,GSW,2024-25,MIA,2024-25,GSW 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,607,260,0.083,0.036,0.008,0.005,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,0.102,0.011,YES
K. Dunn,1627739,1627739_UTA23_LAC24,0,G,G,UTA,2023-24,LAC,2024-25,UTA 2023-24 → LAC 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,327,441,0.043,0.062,0.005,0.015,-0.007,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.328,-0.339,0.011,YES
D. Eubanks,1629234,1629234_PHX23_UTA24,0,F/C,F-C,PHX,2023-24,UTA,2024-25,PHX 2023-24 → UTA 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,269,156,0.036,0.021,0.072,0.033,0.06,0.021,Standard role occupant,Peripheral / replaceable wiring,0.681,0.671,0.01,YES
K. Love,201567,201567_CLE22_MIA22,0,F/C,Forward-Center,CLE,2022-23,MIA,2022-23,CLE 2022-23 → MIA 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,282,137,0.038,0.018,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.088,0.079,0.008,YES
J. Goodwin,1630692,1630692_PHX23_MEM23,0,G,Guard,PHX,2023-24,MEM,2023-24,PHX 2023-24 → MEM 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,165,162,0.022,0.022,0.002,0.005,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.251,0.246,0.005,YES
M. Beasley,1627736,1627736_UTA22_LAL22,0,G,Guard,UTA,2022-23,LAL,2022-23,UTA 2022-23 → LAL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,661,270,0.085,0.034,0.013,0.005,-0.008,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.732,0.727,0.005,YES
R. Covington,203496,203496_LAC22_PHI23,0,F/Wing,F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,239,86,0.032,0.011,0.003,0.005,-0.009,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.128,0.125,0.003,YES
M. Muscala,203488,203488_BOS22_WAS23,0,F/C,F-C,BOS,2022-23,WAS,2023-24,BOS 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,87,79,0.011,0.01,0.001,0.008,-0.01,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.367,-0.369,0.002,YES
L. Stevens,1630205,1630205_CLE22_MEM23,0,F/Wing,F,CLE,2022-23,MEM,2023-24,CLE 2022-23 → MEM 2023-24,Spot-up / off-ball,Post hub,SPOT_UP,POST_UP,301,190,0.04,0.025,0.002,0.004,-0.01,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.087,0.086,0.001,YES
T. Brown Jr.,1628972,1628972_MIN23_DET23,0,F,Guard-Forward,MIN,2023-24,DET,2023-24,MIN 2023-24 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,130,116,0.018,0.015,0.002,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.572,0.574,-0.002,NO
D. McDermott,203926,203926_IND23_SAC24,0,F/Wing,F,IND,2023-24,SAC,2024-25,IND 2023-24 → SAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,64,108,0.008,0.015,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.008,0.014,-0.006,NO
J. Nurkić,203994,203994_PHX24_CHA24,0,C,Center,PHX,2024-25,CHA,2024-25,PHX 2024-25 → CHA 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,187,199,0.026,0.028,0.007,0.005,-0.005,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.353,0.364,-0.011,NO
K. Martin,1630231,1630231_HOU22_PHI23,0,F/Wing,F,HOU,2022-23,PHI,2023-24,HOU 2022-23 → PHI 2023-24,Cutter / connector,Transition initiator,CUT,TRANSITION,751,141,0.099,0.019,0.034,0.048,0.01,0.037,Peripheral / replaceable wiring,Standard role occupant,0.131,0.148,-0.018,NO
J. Carter,1628975,1628975_MIL22_CHI23,0,G,G,MIL,2022-23,CHI,2023-24,MIL 2022-23 → CHI 2023-24,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,545,359,0.069,0.049,0.04,0.009,0.023,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.034,0.053,-0.019,NO
K. Anderson,203937,203937_GSW24_MIA24,0,G,Guard,GSW,2024-25,MIA,2024-25,GSW 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,161,129,0.022,0.018,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.079,-0.057,-0.022,NO
J. Rhoden,1631197,1631197_DET23_TOR24,0,G,G,DET,2023-24,TOR,2024-25,DET 2023-24 → TOR 2024-25,Spot-up / off-ball,Transition initiator,SPOT_UP,TRANSITION,69,81,0.009,0.011,0.0,0.009,-0.011,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.03,-0.007,-0.023,NO
E. Gordon,201569,201569_LAC22_PHX23,0,G,G,LAC,2022-23,PHX,2023-24,LAC 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,198,631,0.026,0.084,0.001,0.015,-0.011,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.684,0.715,-0.03,NO
C. Johnson,1629661,1629661_PHX22_BKN22,0,F,Forward,PHX,2022-23,BKN,2022-23,PHX 2022-23 → BKN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,175,335,0.023,0.045,0.011,0.005,0.0,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.44,0.473,-0.033,NO
J. Nowell,1629669,1629669_MEM23_NOP24,0,G,Guard,MEM,2023-24,NOP,2024-25,MEM 2023-24 → NOP 2024-25,Spot-up / off-ball,Post hub,SPOT_UP,POST_UP,54,63,0.007,0.009,0.002,0.004,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.135,0.172,-0.036,NO
D. Schröder,203471,203471_TOR23_BKN23,0,G,Guard,TOR,2023-24,BKN,2023-24,TOR 2023-24 → BKN 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,575,397,0.076,0.053,0.004,0.001,-0.015,-0.013,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.483,0.525,-0.042,NO
J. Goodwin,1630692,1630692_WAS22_PHX23,0,G,G,WAS,2022-23,PHX,2023-24,WAS 2022-23 → PHX 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,338,165,0.044,0.022,0.003,0.002,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.108,0.153,-0.045,NO
S. Mykhailiuk,1629004,1629004_BOS23_UTA24,0,F/Wing,G-F,BOS,2023-24,UTA,2024-25,BOS 2023-24 → UTA 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,134,286,0.018,0.039,0.002,0.003,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.117,-0.07,-0.046,NO
D. Šarić,203967,203967_PHX22_OKC22,0,F/C,Forward-Center,PHX,2022-23,OKC,2022-23,PHX 2022-23 → OKC 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,189,110,0.025,0.014,0.001,0.042,-0.01,0.031,Peripheral / replaceable wiring,Standard role occupant,-0.001,0.046,-0.047,NO
A. Burks,202692,202692_DET23_NYK23,0,G,Guard,DET,2023-24,NYK,2023-24,DET 2023-24 → NYK 2023-24,Spot-up / off-ball,Pull-up scorer,SPOT_UP,PULL_UP,423,159,0.056,0.022,0.005,0.002,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.012,0.035,-0.047,NO
D. Melton,1629001,1629001_PHI23_GSW24,0,G,G,PHI,2023-24,GSW,2024-25,PHI 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,363,53,0.048,0.007,0.008,0.003,-0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.023,0.074,-0.051,NO
M. Bridges,1628969,1628969_PHX22_BKN22,0,F,Guard-Forward,PHX,2022-23,BKN,2022-23,PHX 2022-23 → BKN 2022-23,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,820,590,0.107,0.079,0.013,0.01,-0.014,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.781,-0.729,-0.052,NO
M. Ryan,1630346,1630346_MIN22_NOP23,0,F/Wing,F,MIN,2022-23,NOP,2023-24,MIN 2022-23 → NOP 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,59,110,0.008,0.014,0.016,0.003,0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.184,-0.13,-0.054,NO
G. Hayward,202330,202330_CHA23_OKC23,0,F,Forward,CHA,2023-24,OKC,2023-24,CHA 2023-24 → OKC 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,328,119,0.044,0.016,0.004,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.065,-0.01,-0.054,NO
P. Beverley,201976,201976_PHI23_MIL23,0,G,Guard,PHI,2023-24,MIL,2023-24,PHI 2023-24 → MIL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,252,152,0.034,0.02,0.002,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.043,0.101,-0.058,NO
O. Toppin,1630167,1630167_NYK22_IND23,0,F/Wing,F,NYK,2022-23,IND,2023-24,NYK 2022-23 → IND 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,415,587,0.055,0.075,0.005,0.023,-0.009,0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.266,0.324,-0.059,NO
T. Bryant,1628418,1628418_LAL22_DEN22,0,F/C,Center-Forward,LAL,2022-23,DEN,2022-23,LAL 2022-23 → DEN 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,296,67,0.038,0.009,0.003,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.256,-0.194,-0.062,NO
J. Giddey,1630581,1630581_OKC23_CHI24,0,G,G,OKC,2023-24,CHI,2024-25,OKC 2023-24 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,904,887,0.119,0.117,0.005,0.011,-0.027,-0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.169,0.231,-0.062,NO
C. Reddish,1629629,1629629_POR22_LAL23,0,F/Wing,F-G,POR,2022-23,LAL,2023-24,POR 2022-23 → LAL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,203,250,0.027,0.032,0.003,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.234,-0.171,-0.063,NO
L. Waters III,1630322,1630322_OKC23_GSW24,0,F/Wing,F,OKC,2023-24,GSW,2024-25,OKC 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,99,188,0.013,0.026,0.001,0.002,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.031,0.099,-0.068,NO
J. Ingles,204060,204060_MIL22_ORL23,0,F/Wing,F-G,MIL,2022-23,ORL,2023-24,MIL 2022-23 → ORL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,266,222,0.034,0.03,0.013,0.005,0.001,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.249,-0.181,-0.068,NO
I. Smith,202397,202397_DEN22_CHA23,0,G,G,DEN,2022-23,CHA,2023-24,DEN 2022-23 → CHA 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,131,172,0.017,0.023,0.026,0.004,0.014,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.17,-0.101,-0.07,NO
M. Morris Sr.,202694,202694_PHI23_CLE23,0,F,Forward,PHI,2023-24,CLE,2023-24,PHI 2023-24 → CLE 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,208,63,0.028,0.009,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.026,0.045,-0.071,NO
M. Morris,1628420,1628420_MIN23_PHX24,0,G,G,MIN,2023-24,PHX,2024-25,MIN 2023-24 → PHX 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,118,187,0.016,0.026,0.001,0.01,-0.01,-0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.2,-0.127,-0.073,NO
T. Bryant,1628418,1628418_DEN22_MIA23,0,F/C,C-F,DEN,2022-23,MIA,2023-24,DEN 2022-23 → MIA 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,67,144,0.009,0.019,0.004,0.004,-0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.058,0.023,-0.081,NO
W. Matthews,202083,202083_MIL22_ATL23,0,G,G,MIL,2022-23,ATL,2023-24,MIL 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,162,97,0.021,0.012,0.009,0.003,-0.002,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.342,-0.252,-0.09,NO
M. Brown,1629650,1629650_LAC22_POR23,0,C,C,LAC,2022-23,POR,2023-24,LAC 2022-23 → POR 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,56,50,0.007,0.007,0.01,0.002,-0.001,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.103,-0.013,-0.091,NO
A. Burks,202692,202692_NYK23_MIA24,0,G,G,NYK,2023-24,MIA,2024-25,NYK 2023-24 → MIA 2024-25,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,159,267,0.022,0.037,0.002,0.005,-0.01,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.249,-0.156,-0.094,NO
T. Jones,1630200,1630200_SAS24_CHI24,0,F,Forward,SAS,2024-25,CHI,2024-25,SAS 2024-25 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,88,142,0.012,0.019,0.003,0.007,-0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.029,0.066,-0.095,NO
J. LaRavia,1631222,1631222_MEM24_SAC24,0,F,Forward,MEM,2024-25,SAC,2024-25,MEM 2024-25 → SAC 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,253,98,0.033,0.013,0.007,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.324,-0.228,-0.096,NO
R. Bullock Jr.,203493,203493_DAL22_HOU23,0,F/Wing,G-F,DAL,2022-23,HOU,2023-24,DAL 2022-23 → HOU 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,468,80,0.063,0.01,0.005,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.166,-0.063,-0.103,NO
T. Mann,1629611,1629611_LAC24_ATL24,0,F,Guard-Forward,LAC,2024-25,ATL,2024-25,LAC 2024-25 → ATL 2024-25,Spot-up / off-ball,Transition initiator,SPOT_UP,TRANSITION,182,184,0.026,0.024,0.004,0.006,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.136,-0.032,-0.104,NO
J. Randle,203944,203944_NYK23_MIN24,0,F/C,F-C,NYK,2023-24,MIN,2024-25,NYK 2023-24 → MIN 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,875,993,0.12,0.136,0.008,0.01,-0.024,-0.029,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.128,-0.023,-0.105,NO
K. Caldwell-Pope,203484,203484_DEN23_ORL24,0,G,G,DEN,2023-24,ORL,2024-25,DEN 2023-24 → ORL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,677,578,0.09,0.08,0.078,0.021,0.056,0.001,Standard role occupant,Peripheral / replaceable wiring,-0.082,0.025,-0.107,NO
T. Evbuomwan,1641787,1641787_DET23_BKN24,0,F/Wing,F,DET,2023-24,BKN,2024-25,DET 2023-24 → BKN 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,64,238,0.008,0.033,0.001,0.008,-0.011,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.181,0.288,-0.107,NO
B. Brown,1628971,1628971_DEN22_IND23,0,F/Wing,G-F,DEN,2022-23,IND,2023-24,DEN 2022-23 → IND 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,785,352,0.105,0.045,0.032,0.004,0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.097,0.023,-0.119,NO
T. Jones,1626145,1626145_WAS23_PHX24,0,G,G,WAS,2023-24,PHX,2024-25,WAS 2023-24 → PHX 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,681,645,0.086,0.091,0.117,0.003,0.096,-0.019,Standard role occupant,Peripheral / replaceable wiring,-0.281,-0.161,-0.119,NO
N. Alexander-Walker,1629638,1629638_UTA22_MIN22,0,G,Guard,UTA,2022-23,MIN,2022-23,UTA 2022-23 → MIN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,198,131,0.025,0.017,0.001,0.004,-0.011,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.076,0.203,-0.128,NO
O. Agbaji,1630534,1630534_UTA23_TOR23,0,G,Guard,UTA,2023-24,TOR,2023-24,UTA 2023-24 → TOR 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,245,186,0.032,0.025,0.001,0.008,-0.011,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.001,0.143,-0.144,NO
Q. Grimes,1629656,1629656_DAL24_PHI24,0,G,Guard,DAL,2024-25,PHI,2024-25,DAL 2024-25 → PHI 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,364,459,0.05,0.063,0.006,0.005,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.353,0.498,-0.145,NO
T. Brown Jr.,1628972,1628972_LAL22_MIN23,0,F/Wing,G-F,LAL,2022-23,MIN,2023-24,LAL 2022-23 → MIN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,464,130,0.059,0.018,0.009,0.002,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.182,0.33,-0.148,NO
B. Bol,1629626,1629626_ORL22_PHX23,0,F/C,C-F,ORL,2022-23,PHX,2023-24,ORL 2022-23 → PHX 2023-24,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,482,139,0.064,0.019,0.01,0.001,-0.006,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.147,0.004,-0.151,NO
J. Nowell,1629669,1629669_MIN22_MEM23,0,G,G,MIN,2022-23,MEM,2023-24,MIN 2022-23 → MEM 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,643,54,0.082,0.007,0.023,0.002,0.003,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.175,-0.021,-0.154,NO
A. Holiday,1628988,1628988_ATL22_HOU23,0,G,G,ATL,2022-23,HOU,2023-24,ATL 2022-23 → HOU 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,222,390,0.028,0.05,0.001,0.005,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.082,0.074,-0.156,NO
C. Gillespie,1631221,1631221_DEN23_PHX24,0,G,G,DEN,2023-24,PHX,2024-25,DEN 2023-24 → PHX 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,74,135,0.01,0.019,0.009,0.012,-0.003,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.645,-0.485,-0.16,NO
D. Šarić,203967,203967_OKC22_GSW23,0,F/C,F-C,OKC,2022-23,GSW,2023-24,OKC 2022-23 → GSW 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,110,405,0.014,0.053,0.042,0.003,0.031,-0.012,Standard role occupant,Peripheral / replaceable wiring,-0.25,-0.09,-0.16,NO
P. Beverley,201976,201976_LAL22_CHI22,0,G,Guard,LAL,2022-23,CHI,2022-23,LAL 2022-23 → CHI 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,268,134,0.034,0.018,0.003,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.035,0.197,-0.162,NO
E. Fournier,203095,203095_NYK22_DET23,0,F/Wing,G-F,NYK,2022-23,DET,2023-24,NYK 2022-23 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,168,211,0.022,0.028,0.012,0.002,0.001,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.531,-0.369,-0.162,NO
M. Christie,1631108,1631108_LAL24_DAL24,0,G,Guard,LAL,2024-25,DAL,2024-25,LAL 2024-25 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,329,312,0.046,0.043,0.002,0.002,-0.011,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.186,-0.023,-0.163,NO
K. Knox II,1628995,1628995_POR22_DET23,0,F/Wing,F,POR,2022-23,DET,2023-24,POR 2022-23 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,154,190,0.02,0.025,0.002,0.001,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.211,-0.044,-0.167,NO
D. Rose,201565,201565_NYK22_MEM23,0,G,G,NYK,2022-23,MEM,2023-24,NYK 2022-23 → MEM 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,167,184,0.022,0.024,0.005,0.003,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.581,-0.412,-0.169,NO
B. Beal,203078,203078_WAS22_PHX23,0,G,G,WAS,2022-23,PHX,2023-24,WAS 2022-23 → PHX 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,990,783,0.129,0.104,0.012,0.007,-0.024,-0.02,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.201,-0.031,-0.17,NO
M. Morris,1628420,1628420_WAS22_MIN23,0,G,G,WAS,2022-23,MIN,2023-24,WAS 2022-23 → MIN 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,533,118,0.07,0.016,0.009,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.155,0.326,-0.171,NO
A. Drummond,203083,203083_CHI23_PHI24,0,C,C,CHI,2023-24,PHI,2024-25,CHI 2023-24 → PHI 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,331,193,0.045,0.026,0.128,0.01,0.115,-0.002,Hidden structural hub,Peripheral / replaceable wiring,-0.357,-0.186,-0.172,NO
A. Pokusevski,1630197,1630197_OKC22_CHA23,0,F/Wing,F,OKC,2022-23,CHA,2023-24,OKC 2022-23 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,237,121,0.03,0.016,0.007,0.008,-0.004,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.153,0.329,-0.176,NO
O. Anunoby,1628384,1628384_TOR23_NYK23,0,F,Forward-Guard,TOR,2023-24,NYK,2023-24,TOR 2023-24 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,341,265,0.045,0.036,0.006,0.001,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.198,0.384,-0.186,NO
