player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
J. Richardson,1626196,1626196_SAS22_NOP22,0,C,Center,SAS,2022-23,NOP,2022-23,SAS 2022-23 → NOP 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,398,143,0.05,0.019,0.006,0.005,-0.008,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.468,0.085,0.383,YES
A. Lawson,1630639,1630639_DAL23_TOR24,0,G,G,DAL,2023-24,TOR,2024-25,DAL 2023-24 → TOR 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,109,185,0.015,0.025,0.006,0.005,-0.005,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.589,0.213,0.376,YES
J. Butler,1630215,1630215_WAS24_PHI24,0,C,Center,WAS,2024-25,PHI,2024-25,WAS 2024-25 → PHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,189,269,0.026,0.037,0.018,0.001,0.006,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.78,0.405,0.375,YES
J. Wiseman,1630164,1630164_GSW22_DET22,0,C,Center,GSW,2022-23,DET,2022-23,GSW 2022-23 → DET 2022-23,PnR ball-handler / hub,Post hub,PNR,POST_UP,103,241,0.013,0.032,0.026,0.007,0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.756,0.389,0.367,YES
K. Porter Jr.,1629645,1629645_LAC24_MIL24,0,F,Guard-Forward,LAC,2024-25,MIL,2024-25,LAC 2024-25 → MIL 2024-25,PnR ball-handler / hub,Driving creator,PNR,DRIVE,436,279,0.062,0.037,0.004,0.004,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.267,-0.091,0.358,YES
J. Green,1629750,1629750_NOP24_CLE24,0,F/C,Forward-Center,NOP,2024-25,CLE,2024-25,NOP 2024-25 → CLE 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,208,54,0.028,0.007,0.002,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.089,-0.267,0.356,YES
M. Beasley,1627736,1627736_MIL23_DET24,0,G,G,MIL,2023-24,DET,2024-25,MIL 2023-24 → DET 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,692,1042,0.089,0.142,0.013,0.03,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.457,0.106,0.352,YES
J. Poeltl,1627751,1627751_SAS22_TOR22,0,C,Center,SAS,2022-23,TOR,2022-23,SAS 2022-23 → TOR 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,388,218,0.049,0.028,0.12,0.011,0.106,-0.0,Hidden structural hub,Peripheral / replaceable wiring,0.501,0.15,0.351,YES
D. Roddy,1631223,1631223_MEM23_ATL24,0,F,Forward,MEM,2023-24,ATL,2024-25,MEM 2023-24 → ATL 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,390,107,0.052,0.014,0.005,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.54,0.19,0.349,YES
J. McDaniels,1629667,1629667_CHA22_PHI22,0,F,Forward,CHA,2022-23,PHI,2022-23,CHA 2022-23 → PHI 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,543,119,0.07,0.016,0.01,0.005,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.351,0.003,0.348,YES
R. Hachimura,1629060,1629060_WAS22_LAL22,0,F,Forward,WAS,2022-23,LAL,2022-23,WAS 2022-23 → LAL 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,335,260,0.044,0.033,0.001,0.005,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.621,0.274,0.348,YES
J. Valančiūnas,202685,202685_NOP23_WAS24,0,C,C,NOP,2023-24,WAS,2024-25,NOP 2023-24 → WAS 2024-25,Post hub,Post hub,POST_UP,POST_UP,680,380,0.089,0.052,0.035,0.131,0.014,0.117,Peripheral / replaceable wiring,Hidden structural hub,0.304,-0.043,0.346,YES
D. Finney-Smith,1627827,1627827_BKN24_LAL24,0,F,Forward,BKN,2024-25,LAL,2024-25,BKN 2024-25 → LAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,158,262,0.022,0.036,0.003,0.006,-0.008,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.584,0.239,0.344,YES
