mover_id,player_id,player,f1,f2,yy1,yy2,gap_seasons,dest_fr,self_sim,decoy_sim,delta
1629003_BKN24_LAL24,1629003,S. Milton,BKN,LAL,24,24,0,LAL,-0.4886332401162269,-0.07488873194527658,-0.4137445081709503
1629004_CHA22_BOS23,1629004,S. Mykhailiuk,CHA,BOS,22,23,0,BOS,-0.719466883097874,-0.21736895731169287,-0.5020979257861811
1629004_BOS23_UTA24,1629004,S. Mykhailiuk,BOS,UTA,23,24,0,UTA,-0.11660925995227098,-0.07037906431868336,-0.046230195633587615
1629006_PHX24_CHA24,1629006,J. Okogie,PHX,CHA,24,24,0,CHA,-0.09591693709175096,0.5292067607191571,-0.625123697810908
1629013_PHX22_WAS23,1629013,L. Shamet,PHX,WAS,22,23,0,WAS,-0.1885336053303729,0.5819824927952503,-0.7705160981256232
1629013_WAS23_NYK24,1629013,L. Shamet,WAS,NYK,23,24,0,NYK,-0.27996775793522255,0.06805146710748392,-0.34801922504270644
1629018_TOR23_MIL24,1629018,G. Trent Jr.,TOR,MIL,23,24,0,MIL,0.6814877418587346,0.28117178569162343,0.4003159561671112
1629020_UTA22_LAL22,1629020,J. Vanderbilt,UTA,LAL,22,22,0,LAL,-0.6641633030016525,-0.7025524183969879,0.038389115395335405
1629022_LAL22_BKN23,1629022,L. Walker IV,LAL,BKN,22,23,0,BKN,0.47916172681203045,0.3032355670809288,0.17592615973110165
1629022_BKN23_PHI24,1629022,L. Walker IV,BKN,PHI,23,24,0,PHI,-0.3282150459526715,0.024395123031441125,-0.3526101689841126
1629023_CHA23_DAL23,1629023,P. Washington,CHA,DAL,23,23,0,DAL,-0.29361063264833576,0.2592293781699346,-0.5528400108182703
1629028_PHX22_POR23,1629028,D. Ayton,PHX,POR,22,23,0,POR,0.3440731931330989,0.163598450709806,0.18047474242329292
1629029_DAL24_LAL24,1629029,L. Dončić,DAL,LAL,24,24,0,LAL,0.4862966221156573,0.14295471141026228,0.343341910705395
1629052_IND22_BOS23,1629052,O. Brissett,IND,BOS,22,23,0,BOS,-0.4058188081130899,-0.130891301114156,-0.27492750699893387
1629060_WAS22_LAL22,1629060,R. Hachimura,WAS,LAL,22,22,0,LAL,0.62135250154207,0.27360489000300864,0.34774761153906136
1629111_PHX22_HOU23,1629111,J. Landale,PHX,HOU,22,23,0,HOU,-0.4685419024787667,-0.07130173651108204,-0.39724016596768463
1629134_LAL22_WAS22,1629134,K. Nunn,LAL,WAS,22,22,0,WAS,0.5255020098833816,0.4395676210863989,0.08593438879698267
1629139_BKN22_PHX23,1629139,Y. Watanabe,BKN,PHX,22,23,0,PHX,0.6378306231015807,0.582083349602046,0.05574727349953468
1629234_POR22_PHX23,1629234,D. Eubanks,POR,PHX,22,23,0,PHX,0.7319645659385288,0.1917320104951821,0.5402325554433467
1629234_PHX23_UTA24,1629234,D. Eubanks,PHX,UTA,23,24,0,UTA,0.6813375620330308,0.6713507177962817,0.009986844236749004
1629308_LAL22_UTA22,1629308,J. Toscano-Anderson,LAL,UTA,22,22,0,UTA,-0.8702010885036694,0.35390324028274833,-1.2241043287864177
1629611_LAC24_ATL24,1629611,T. Mann,LAC,ATL,24,24,0,ATL,-0.13591381744678596,-0.03220908166665158,-0.10370473578013438
1629622_MIA22_CLE23,1629622,M. Strus,MIA,CLE,22,23,0,CLE,0.7899223160494199,0.15960011774455649,0.6303221983048634
1629626_ORL22_PHX23,1629626,B. Bol,ORL,PHX,22,23,0,PHX,-0.14668496302000747,0.004230192722984752,-0.15091515574299222
1629628_NYK23_TOR23,1629628,R. Barrett,NYK,TOR,23,23,0,TOR,-0.1134722170269454,0.19643844673539113,-0.30991066376233656
1629629_NYK22_POR22,1629629,C. Reddish,NYK,POR,22,22,0,POR,0.6389092598318539,0.16927489135037083,0.46963436848148304
1629629_POR22_LAL23,1629629,C. Reddish,POR,LAL,22,23,0,LAL,-0.2342993697682679,-0.17083175066077108,-0.06346761910749682
1629631_ATL24_CLE24,1629631,D. Hunter,ATL,CLE,24,24,0,CLE,-0.1711062549116166,0.19953568999290902,-0.3706419449045256
1629637_NOP22_LAL23,1629637,J. Hayes,NOP,LAL,22,23,0,LAL,0.6594828176377151,-0.2680782781774679,0.927561095815183
1629638_UTA22_MIN22,1629638,N. Alexander-Walker,UTA,MIN,22,22,0,MIN,0.0757618678160296,0.20335705299234838,-0.1275951851763188
1629642_POR22_PHX23,1629642,N. Little,POR,PHX,22,23,0,PHX,-0.1952294087573403,-0.3326890061136122,0.1374595973562719
1629645_LAC24_MIL24,1629645,K. Porter Jr.,LAC,MIL,24,24,0,MIL,0.26739439928800485,-0.09052717582727088,0.3579215751152757
1629650_LAC22_POR23,1629650,M. Brown,LAC,POR,22,23,0,POR,-0.10347175447437704,-0.012711622978097314,-0.09076013149627972
1629655_WAS23_DAL23,1629655,D. Gafford,WAS,DAL,23,23,0,DAL,0.864710244143768,0.26272213016577134,0.6019881139779966
1629656_NYK23_DAL24,1629656,Q. Grimes,NYK,DAL,23,24,0,DAL,0.3192457028286291,0.15725292963768903,0.16199277319094005
1629656_DAL24_PHI24,1629656,Q. Grimes,DAL,PHI,24,24,0,PHI,0.3530354098221551,0.49760930996140607,-0.14457390013925098
1629659_UTA23_CHI24,1629659,T. Horton-Tucker,UTA,CHI,23,24,0,CHI,0.29613870251716595,0.06216344706593997,0.233975255451226
1629661_PHX22_BKN22,1629661,C. Johnson,PHX,BKN,22,22,0,BKN,0.4401181711819221,0.4729986767124802,-0.0328805055305581
1629667_CHA22_PHI22,1629667,J. McDaniels,CHA,PHI,22,22,0,PHI,0.3514130649424257,0.0032084130426687342,0.34820465189975697
1629667_PHI22_TOR23,1629667,J. McDaniels,PHI,TOR,22,23,0,TOR,-0.3628837759746993,-0.14159175824068307,-0.22129201773401622
1629669_MIN22_MEM23,1629669,J. Nowell,MIN,MEM,22,23,0,MEM,-0.17484051772868153,-0.020977194846062176,-0.15386332288261936
1629669_MEM23_NOP24,1629669,J. Nowell,MEM,NOP,23,24,0,NOP,0.13542959527077716,0.1715961435342638,-0.03616654826348664
1629670_MIL22_IND22,1629670,J. Nwora,MIL,IND,22,22,0,IND,0.4582815776076776,0.07440016318614659,0.383881414421531
1629670_IND23_TOR23,1629670,J. Nwora,IND,TOR,23,23,0,TOR,0.2409799801953144,0.14872527607038152,0.09225470412493289
1629673_GSW22_WAS23,1629673,J. Poole,GSW,WAS,22,23,0,WAS,0.4988660800677831,-0.14798505999386563,0.6468511400616488
1629680_PHI22_POR22,1629680,M. Thybulle,PHI,POR,22,22,0,POR,-0.6323578976976618,-0.3466581718359848,-0.285699725861677
1629684_BOS22_DAL23,1629684,G. Williams,BOS,DAL,22,23,0,DAL,0.1114260458131145,-0.1114474145000135,0.222873460313128
1629684_DAL23_CHA23,1629684,G. Williams,DAL,CHA,23,23,0,CHA,0.5817243372670938,0.4574936780419477,0.12423065922514615
1629726_HOU22_ATL23,1629726,G. Mathews,HOU,ATL,22,23,0,ATL,0.21505506583128284,-0.32274362577054705,0.5377986916018299
1629750_CHI23_NOP24,1629750,J. Green,CHI,NOP,23,24,0,NOP,0.29358294369647836,-0.2644214265097566,0.558004370206235
1629750_NOP24_CLE24,1629750,J. Green,NOP,CLE,24,24,0,CLE,0.08907060804385271,-0.2673761118259189,0.3564467198697716
1630164_GSW22_DET22,1630164,J. Wiseman,GSW,DET,22,22,0,DET,0.7561802334815096,0.38876609328578315,0.3674141401957265
1630166_WAS23_POR24,1630166,D. Avdija,WAS,POR,23,24,0,POR,0.16215771184232478,0.05883591126822232,0.10332180057410245
1630167_NYK22_IND23,1630167,O. Toppin,NYK,IND,22,23,0,IND,0.26585495013502436,0.32437036340155684,-0.05851541326653248
1630173_TOR23_NYK23,1630173,P. Achiuwa,TOR,NYK,23,23,0,NYK,-0.1462723597760746,-0.2107879353589952,0.06451557558292059
1630180_DET22_ATL22,1630180,S. Bey,DET,ATL,22,22,0,ATL,-0.6584855711394528,-0.1245988597489122,-0.5338867113905407
1630181_ORL22_DET22,1630181,R. Hampton,ORL,DET,22,22,0,DET,-0.07697921090365353,-0.18230776203644228,0.10532855113278874
1630182_DAL23_CHA24,1630182,J. Green,DAL,CHA,23,24,0,CHA,0.5966126451128223,0.37846469103754865,0.21814795407527365
1630188_IND23_CHI24,1630188,J. Smith,IND,CHI,23,24,0,CHI,0.3843859892974963,0.06765344908839013,0.31673254020910613
1630193_NYK23_TOR23,1630193,I. Quickley,NYK,TOR,23,23,0,TOR,0.0817333909459751,-0.035703688991372926,0.11743707993734803
1630194_PHI23_DET24,1630194,P. Reed,PHI,DET,23,24,0,DET,-0.32888770934858463,0.1093995602345739,-0.43828726958315856
1630197_OKC22_CHA23,1630197,A. Pokusevski,OKC,CHA,22,23,0,CHA,0.1528443218344356,0.3286007841232527,-0.1757564622888171
1630200_SAS24_CHI24,1630200,T. Jones,SAS,CHI,24,24,0,CHI,-0.02932291150937942,0.0661097153554709,-0.09543262686485032
1630201_TOR23_DET23,1630201,M. Flynn,TOR,DET,23,23,0,DET,0.7598861488216139,0.5042876739596369,0.25559847486197695
1630205_CLE22_MEM23,1630205,L. Stevens,CLE,MEM,22,23,0,MEM,0.08667652562733902,0.0856929050861619,0.0009836205411771215
1630208_CHA24_PHX24,1630208,N. Richards,CHA,PHX,24,24,0,PHX,0.04150261322645323,-0.268317051630432,0.3098196648568852
1630214_MEM23_BOS23,1630214,X. Tillman,MEM,BOS,23,23,0,BOS,-0.5986202997650539,-0.24766652879636103,-0.3509537709686929
1630215_WAS24_PHI24,1630215,J. Butler,WAS,PHI,24,24,0,PHI,0.7797127505717227,0.4050453828272307,0.37466736774449205
1630230_NOP23_DAL24,1630230,N. Marshall,NOP,DAL,23,24,0,DAL,0.09140206514282946,-0.12112587558028876,0.2125279407231182
1630231_HOU22_PHI23,1630231,K. Martin,HOU,PHI,22,23,0,PHI,0.13078865936832237,0.14849126657889458,-0.017702607210572208
